date,dem_prob,rep_prob
1-Jun,75.5,24.5
2-Jun,76.4,23.6
3-Jun,76,24
4-Jun,75.6,24.4
5-Jun,74.4,25.6
6-Jun,74.1,25.9
7-Jun,75,25
8-Jun,74.7,25.3
9-Jun,74.4,25.6
10-Jun,75.5,24.5
11-Jun,74.3,25.7
12-Jun,75.3,24.7
13-Jun,74.8,25.2
14-Jun,75.1,24.9
15-Jun,74.8,25.2
16-Jun,74.2,25.8
17-Jun,74.7,25.3
18-Jun,74.3,25.7
19-Jun,74.3,25.7
20-Jun,76.8,23.2
21-Jun,76.4,23.6
22-Jun,76.2,23.8
23-Jun,75.1,24.9
24-Jun,76.8,23.2
25-Jun,77.1,22.9
26-Jun,76.6,23.4
27-Jun,76.7,23.3
28-Jun,76.2,23.8
29-Jun,76.3,23.7
30-Jun,76.2,23.8
1-Jul,77.7,22.3
2-Jul,77.2,22.8
3-Jul,77.5,22.5
4-Jul,76.8,23.2
5-Jul,76.9,23.1
6-Jul,77.4,22.6
7-Jul,77.2,22.8
8-Jul,77.8,22.2
9-Jul,78.2,21.8
10-Jul,76.5,23.5
11-Jul,76.4,23.6
12-Jul,76.6,23.4
13-Jul,76.6,23.4
14-Jul,77.5,22.5
15-Jul,76.7,23.3
16-Jul,76.6,23.4
17-Jul,77.7,22.3
18-Jul,76.6,23.4
19-Jul,74.9,25.1
20-Jul,76.2,23.8
21-Jul,76.3,23.7
22-Jul,76,24
23-Jul,76.3,23.7
24-Jul,76.6,23.4
25-Jul,76.6,23.4
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
