"date","dem_prob","rep_prob"
2016-06-01,"64.8","35.2"
2016-06-02,"66.8","33.2"
2016-06-03,"64.7","35.3"
2016-06-04,"64.4","35.6"
2016-06-05,"68.7","31.3"
2016-06-06,"70.2","29.8"
2016-06-07,"71.4","28.6"
2016-06-08,"74.5","25.5"
2016-06-09,"74.5","25.5"
2016-06-10,"74.8","25.2"
2016-06-11,"73.9","26.1"
2016-06-12,"76.2","23.8"
2016-06-13,"78.7","21.3"
2016-06-14,"78.6","21.4"
2016-06-15,"78.2","21.8"
2016-06-16,"78.7","21.3"
2016-06-17,"78.3","21.7"
2016-06-18,"78","22"
2016-06-19,"80.1","19.9"
2016-06-20,"81.9","18.1"
2016-06-21,"81.4","18.6"
2016-06-22,"82.8","17.2"
2016-06-23,"82.9","17.1"
2016-06-24,"82.9","17.1"
2016-06-25,"82.9","17.1"
2016-06-26,"83.3","16.7"
2016-06-27,"82.9","17.1"
2016-06-28,"81.7","18.3"
2016-06-29,"80","20"
2016-06-30,"78.4","21.6"
2016-07-01,"78.9","21.1"
2016-07-02,"79.1","20.9"
2016-07-03,"79","21"
2016-07-04,"77.2","22.8"
2016-07-05,"75.7","24.3"
2016-07-06,"78.6","21.4"
2016-07-07,"78.5","21.5"
2016-07-08,"77.3","22.7"
2016-07-09,"77.8","22.2"
2016-07-10,"76.2","23.8"
2016-07-11,"72.8","27.2"
2016-07-12,"70.6","29.4"
2016-07-13,"68.7","31.3"
2016-07-14,"67.9","32.1"
2016-07-15,"69.7","30.3"
2016-07-16,"69.7","30.3"
2016-07-17,"68.8","31.2"
2016-07-18,"66.8","33.2"
2016-07-19,"60.4","39.6"
2016-07-20,"62.9","37.1"
2016-07-21,"62.2","37.8"
2016-07-22,"61.4","38.6"
2016-07-23,"61.5","38.5"
2016-07-24,"61.4","38.6"
2016-07-25,"62.2","37.8"
2016-07-26,"61.8","38.2"
2016-07-27,"65.9","34.1"
2016-07-28,"65.4","34.6"
2016-07-29,"67.4","32.6"
2016-07-30,"67.3","32.7"
2016-07-31,"68.9","31.1"
2016-08-01,"73.3","26.7"
2016-08-02,"74.8","25.2"
2016-08-03,"79.6","20.4"
2016-08-04,"81.8","18.2"
2016-08-05,"84.6","15.4"
2016-08-06,"84.7","15.3"
2016-08-07,"85","15"
2016-08-08,"84.9","15.1"
2016-08-09,"82.3","17.7"
2016-08-10,"84.2","15.8"
2016-08-11,"84","16"
2016-08-12,"84.5","15.5"
2016-08-13,"82.6","17.4"
2016-08-14,"84.5","15.5"
2016-08-15,"85.1","14.9"
2016-08-16,"85","15"
2016-08-17,"86.1","13.9"
2016-08-18,"85.9","14.1"
2016-08-19,"84.4","15.6"
2016-08-20,"85.8","14.2"
2016-08-21,"84.2","15.8"
2016-08-22,"84.6","15.4"
2016-08-23,"84.2","15.8"
2016-08-24,"84.4","15.6"
2016-08-25,"85.6","14.4"
2016-08-26,"87","13"
2016-08-27,"86.9","13.1"
2016-08-28,"85.9","14.1"
2016-08-29,"86.1","13.9"
2016-08-30,"88.4","11.6"
2016-08-31,"84.7","15.3"
2016-09-01,"84.4","15.6"
2016-09-02,"83","17"
2016-09-03,"83","17"
2016-09-04,"83.5","16.5"
2016-09-05,"83.1","16.9"
2016-09-06,"87.9","12.1"
2016-09-07,"87.7","12.3"
2016-09-08,"87.2","12.8"
2016-09-09,"87.6","12.4"
2016-09-10,"86.5","13.5"
2016-09-11,"87","13"
2016-09-12,"85.2","14.8"
2016-09-13,"86.6","13.4"
2016-09-14,"86.2","13.8"
2016-09-15,"84.7","15.3"
2016-09-16,"84.8","15.2"
2016-09-17,"84.6","15.4"
2016-09-18,"86.2","13.8"
2016-09-19,"85.1","14.9"
2016-09-20,"86.1","13.9"
2016-09-21,"86.6","13.4"
2016-09-22,"81.8","18.2"
2016-09-23,"81.2","18.8"
2016-09-24,"80.9","19.1"
2016-09-25,"80","20"
2016-09-26,"80.5","19.5"
2016-09-27,"85.1","14.9"
2016-09-28,"84.6","15.4"
2016-09-29,"84.7","15.3"
2016-09-30,"84.6","15.4"
