Pollster,Date,Bush,Kerry
Marist,11/1/2004,49,50
GW/Battleground,11/1/2004,50,46
IBD/TIPP,11/1/2004,50,48
CBS News,11/1/2004,49,47
Harris,11/1/2004,49,48
FOX News,10/31/2004,46,48
Reuters/Zogby,10/31/2004,48,47
CNN/USA Today/Gallup,10/31/2004,49,49
NBC/WSJ,10/31/2004,48,47
ABC/Wash Post,10/31/2004,49,48
ARG,10/30/2004,48,48
CBS News/NY Times,10/30/2004,49,46
Pew Research,10/30/2004,51,48
Newsweek,10/29/2004,50,44
GW/Battleground,10/28/2004,51,46
ICR,10/26/2004,48,45
CNN/USA Today/Gallup,10/24/2004,51,46
LA Times,10/24/2004,48,48
Newsweek,10/22/2004,48,46
Time,10/21/2004,51,46
GW/Battleground,10/21/2004,49,45
AP-Ipsos,10/20/2004,46,49
Marist,10/19/2004,49,48
Pew Research,10/19/2004,47,47
FOX News,10/18/2004,49,42
ABC/Wash Post,10/18/2004,51,46
NBC/WSJ,10/18/2004,48,48
Harris,10/17/2004,49.5,44.5
CBS News/NY Times,10/17/2004,47,45
CNN/USA Today/Gallup,10/16/2004,52,44
Time,10/15/2004,48,47
Newsweek,10/15/2004,50,44
GW/Battleground,10/14/2004,49,46
ABC/Wash Post,10/13/2004,48,48
Zogby,10/11/2004,45,45
CBS News,10/11/2004,48,45
ICR,10/11/2004,48,43
CNN/USA Today/Gallup,10/10/2004,48,49
Time,10/7/2004,46,45
GW/Battleground,10/7/2004,49,46
AP-Ipsos,10/6/2004,46,50
Marist,10/5/2004,49,46
ICR,10/5/2004,51,45
FOX News,10/4/2004,47,45
ARG,10/4/2004,46,46
ABC News/Wash Post,10/3/2004,51,46
CBS News/NY Times,10/3/2004,47,47
Zogby,10/3/2004,46,43
Pew Research,10/3/2004,49,44
CNN/USA Today/Gallup,10/3/2004,49,49
Newsweek,10/2/2004,45,47
Sacred Heart Univ,10/2/2004,48,43
Battleground,9/30/2004,51,44
LA Times,9/28/2004,51,45
IBD/TIPP,9/27/2004,45,45
CNN/USA Today/Gallup,9/26/2004,52,44
ABC News/Wash Post,9/26/2004,51,45
Pew Research,9/26/2004,48,40
Time,9/23/2004,48,42
Battleground,9/23/2004,50,45
FOX News,9/22/2004,46,42
Marist,9/22/2004,50,44
CBS News,9/22/2004,51,42
AP-Ipsos,9/22/2004,52,45
Pew Research,9/21/2004,45,42
ARG,9/21/2004,47,46
NBC/WSJ,9/19/2004,50,46
Zogby,9/19/2004,46,43
IBD/TIPP,9/18/2004,45,42
CBS News,9/16/2004,50,41
CNN/USA Today/Gallup,9/15/2004,54,40
Battleground,9/15/2004,49,45
Pew Research,9/14/2004,47,46
Harris,9/13/2004,47,48
IBD/TIPP,9/12/2004,46,46
Newsweek,9/10/2004,49,43
Pew Research,9/10/2004,54,38
Zogby,9/9/2004,46,42
Time,9/9/2004,52,41
AP-Ipsos,9/9/2004,51,46
FOX News,9/8/2004,47,43
ABC News/Wash Post,9/8/2004,52,43
CBS News,9/8/2004,49,42
CNN/USA Today/Gallup,9/5/2004,52,45
Newsweek,9/3/2004,52,41
Time,9/2/2004,52,41
Zogby,9/2/2004,46,43
ARG,9/1/2004,47,47
ABC News/Wash Post,8/29/2004,48,48
Time,8/26/2004,46,44
FOX News,8/25/2004,43,44
CNN/USA Today/Gallup,8/25/2004,48,46
NBC/WSJ,8/25/2004,47,45
NPR - POS/GQR,8/24/2004,43,47
LA Times,8/24/2004,47,44
IBD/TIPP,8/23/2004,43,43
CBS News,8/18/2004,45,46
Battleground,8/17/2004,43,44
Harris,8/15/2004,47,47
Zogby,8/14/2004,43,47
Gallup,8/11/2004,48,46
Pew Research,8/10/2004,45,47
Time,8/5/2004,43,48
AP-Ipsos,8/5/2004,45,48
Democracy Corps (D),8/5/2004,44,49
IBD/TIPP,8/5/2004,42,45
FOX News,8/4/2004,43,47
Marist,8/2/2004,47,47
CBS News,8/1/2004,43,48
CNN/USA Today/Gallup,8/1/2004,51,45
ABC News/Wash Post,8/1/2004,47,49
ARG,8/1/2004,45,49
Newsweek,7/30/2004,42,49
ABC News/Wash Post,7/25/2004,48,46
IBD/TIPP,7/24/2004,42,44
Time,7/22/2004,43,46
Quinnipiac,7/22/2004,43,44
FOX News,7/21/2004,43,44
NBC/WSJ,7/21/2004,47,45
CNN/USA Today/Gallup,7/21/2004,46,47
LA Times,7/21/2004,44,46
Pew Research,7/18/2004,44,46
IBD/TIPP,7/17/2004,40,42
Marist,7/15/2004,44,45
CBS News/NY Times,7/15/2004,42,45
Democracy Corps (D),7/13/2004,45,48
ABC News/Wash Post,7/11/2004,46,46
CNN/USA Today/Gallup,7/11/2004,45,50
IBD/TIPP,7/10/2004,43,47
Newsweek,7/9/2004,44,47
Time,7/8/2004,45,47
Zogby,7/7/2004,45,47
AP-Ipsos,7/7/2004,49,45
NBC/WSJ,7/6/2004,41,49
ARG,7/3/2004,44,47
Gallup,6/30/2004,45,44
NBC/WSJ,6/28/2004,45,44
CBS News/NY Times,6/27/2004,43,42
FOX News,6/23/2004,47,40
CNN/USA Today/Gallup,6/23/2004,48,47
Battleground,6/23/2004,43,41
ABC News/Wash Post,6/20/2004,44,48
IBD/TIPP,6/19/2004,44,41
Harris,6/15/2004,51,41
IBD/TIPP,6/13/2004,43,40
Pew Research,6/13/2004,46,42
FOX News,6/9/2004,42,42
AP-Ipsos,6/9/2004,46,45
LA Times,6/8/2004,42,48
Gallup,6/6/2004,44,50
IBD/TIPP,6/6/2004,43,41
Zogby,6/5/2004,42,44
ARG,6/3/2004,45,46
Quinnipiac,5/24/2004,43,42
CNN/USA Today/Gallup,5/23/2004,46,47
ABC News/Wash Post,5/23/2004,46,46
CBS News,5/23/2004,41,47
InsiderAdvantage,5/22/2004,43,43
FOX News,5/19/2004,40,40
IBD/TIPP,5/18/2004,42,41
Newsweek,5/14/2004,42,43
CNN,5/13/2004,44,49
Democracy Corps (D),5/13/2004,45,46
Zogby,5/13/2004,42,47
CNN/USA Today/Gallup,5/9/2004,47,45
Pew Research,5/9/2004,43,46
IBD/TIPP,5/8/2004,46,41
Ayres McHenry,5/6/2004,45,41
AP-Ipsos,5/5/2004,46,43
CNN/USA Today/Gallup,5/4/2004,47,47
ARG,5/3/2004,44,45
NBC/WSJ,5/3/2004,46,42
Quinnipiac,5/3/2004,43,40
Sacred Heart Univ,5/1/2004,52,46
CBS News/NY Times,4/27/2004,43,41
Marist,4/23/2004,47,43
FOX News,4/22/2004,42,40
Democracy Corps (D),4/22/2004,47,44
IBD/TIPP,4/19/2004,44,40
CNN/USA Today/Gallup,4/18/2004,50,44
ABC News/Wash Post,4/18/2004,48,43
Zogby,4/17/2004,44.7,45.3
Harris,4/15/2004,46,43
InsiderAdvantage,4/14/2004,37,43
Newsweek,4/9/2004,42,46
ARG,4/9/2004,43,48
CNN/USA Today/Gallup,4/8/2004,47,43
FOX News,4/7/2004,43,42
AP-Ipsos,4/7/2004,45,44
Zogby,4/4/2004,46,45
IBD/TIPP,4/3/2004,43,45
CBS News,4/1/2004,43,48
Battleground,3/31/2004,43,39
LA Times,3/30/2004,44,47
CNN/USA Today/Gallup,3/28/2004,49,45
Pew Research,3/28/2004,44,43
Newsweek,3/26/2004,45,43
FOX News,3/24/2004,43,42
Quinnipiac,3/22/2004,46,40
AP-Ipsos,3/21/2004,46,43
Democracy Corps (D),3/21/2004,50,47
InsiderAdvantage,3/19/2004,46,41
Newsweek,3/19/2004,45,43
Zogby,3/19/2004,46,46
CBS News/NY Times,3/14/2004,46,38
ARG,3/11/2004,42,48
IBD/TIPP,3/11/2004,45,40
NBC/WSJ,3/8/2004,45,43
CNN/USA Today/Gallup,3/7/2004,44,50
ABC News/Wash Post,3/7/2004,44,48
IBD/TIPP,3/7/2004,41,44
FOX News,3/4/2004,44,44
AP-Ipsos,3/3/2004,46,45
Pew Research,2/29/2004,44,48
CBS News,2/27/2004,46,47
Newsweek,2/20/2004,45,48
FOX News,2/19/2004,45,45
ARG,2/19/2004,46,48
CNN/USA Today/Gallup,2/17/2004,43,55
Rasmussen,2/17/2004,48,43
Univ. of Connecticut,2/16/2004,45,46
Pew Research,2/16/2004,47,47
CBS News,2/15/2004,43,48
ABC News/Wash Post,2/11/2004,43,52
Rasmussen,2/10/2004,46,45
CNN/USA Today/Gallup,2/8/2004,49,48
Time,2/6/2004,50,48
Newsweek,2/6/2004,45,50
FOX News,2/5/2004,47,43
CNN/USA Today/Gallup,2/1/2004,46,53
Rasmussen,1/31/2004,43,46
Quinnipiac,1/31/2004,43,51
